model_name,model_type,epistasis_order,num_snps,epochs_requested,epochs_trained,test_loss,test_accuracy,initial_train_loss,final_train_loss,initial_train_acc,final_train_acc,initial_val_loss,final_val_loss,initial_val_acc,final_val_acc,training_time_seconds,training_time_minutes,convergence,performance_category,expected_accuracy,status,filepath
model1,Marginal,2,50,100,34,0.6029990315437317,0.6183333396911621,0.7000609636306763,0.6024898290634155,0.4910714328289032,0.6182143092155457,0.69321209192276,0.6211400628089905,0.5,0.596666693687439,68.09349870681763,1.134891645113627,Yes,Good,60-70%,SUCCESS,data/processed/model1/order2/snps50/dataset_0.npz
model1,Marginal,2,50,100,44,0.5779861807823181,0.6483333110809326,0.6937071681022644,0.584684431552887,0.5114285945892334,0.6432142853736877,0.693180501461029,0.5812370777130127,0.46833333373069763,0.6433333158493042,96.48978972434998,1.6081631620724997,Yes,Good,60-70%,SUCCESS,data/processed/model1/order2/snps50/dataset_1.npz
model2,Marginal,2,50,100,35,0.6137380003929138,0.6050000190734863,0.6945280432701111,0.5792015790939331,0.5014285445213318,0.654285728931427,0.6931774616241455,0.6037308573722839,0.5,0.6150000095367432,69.712646484375,1.16187744140625,Yes,Good,60-70%,SUCCESS,data/processed/model2/order2/snps50/dataset_0.npz
model2,Marginal,2,50,100,31,0.5972407460212708,0.6299999952316284,0.6965910196304321,0.5840613842010498,0.4957142770290375,0.6428571343421936,0.6932507157325745,0.5879753828048706,0.5,0.6266666650772095,53.350964307785034,0.8891827384630839,Yes,Good,60-70%,SUCCESS,data/processed/model2/order2/snps50/dataset_1.npz
model3,Marginal,2,50,100,42,0.23306719958782196,0.92166668176651,0.6989699006080627,0.23671044409275055,0.49464285373687744,0.9160714149475098,0.6929509043693542,0.2788272202014923,0.5,0.8983333110809326,72.09332919120789,1.2015554865201314,Yes,Excellent,60-70%,SUCCESS,data/processed/model3/order2/snps50/dataset_0.npz
model3,Marginal,2,50,100,30,0.26901236176490784,0.8999999761581421,0.6954892873764038,0.26027554273605347,0.5024999976158142,0.9064285755157471,0.69334477186203,0.27569207549095154,0.5,0.8966666460037231,57.87251663208008,0.9645419438680013,Yes,Excellent,60-70%,SUCCESS,data/processed/model3/order2/snps50/dataset_1.npz
model4,Mixed (3-way),3,50,100,33,0.2226538062095642,0.9283333420753479,0.698067307472229,0.2576739490032196,0.4982142746448517,0.9060714244842529,0.6931647062301636,0.29370367527008057,0.5,0.8883333206176758,59.519752740859985,0.9919958790143331,Yes,Excellent,50% (no signal),SUCCESS,data/processed/model4/order2/snps50/dataset_0.npz
model4,Mixed (3-way),3,50,100,29,0.24996037781238556,0.9116666913032532,0.6962677240371704,0.2282421886920929,0.4950000047683716,0.9225000143051147,0.6932365298271179,0.2200983464717865,0.5,0.9266666769981384,54.50071620941162,0.9083452701568604,Yes,Excellent,50% (no signal),SUCCESS,data/processed/model4/order2/snps50/dataset_1.npz
model5,Pure Epistasis,2,50,100,35,0.5966683030128479,0.6266666650772095,0.6975733637809753,0.5996289253234863,0.4903571307659149,0.6274999976158142,0.6931619048118591,0.5998949408531189,0.47833332419395447,0.6316666603088379,65.08626008033752,1.0847710013389587,Yes,Good,60-70%,SUCCESS,data/processed/model5/order2/snps50/dataset_0.npz
model5,Pure Epistasis,2,50,100,32,0.603025496006012,0.6183333396911621,0.6960987448692322,0.5950191020965576,0.4892857074737549,0.6285714507102966,0.6931527853012085,0.6035916209220886,0.5,0.621666669845581,76.37763524055481,1.2729605873425802,Yes,Good,60-70%,SUCCESS,data/processed/model5/order2/snps50/dataset_1.npz
model6,Pure Epistasis,2,50,100,55,0.5856068730354309,0.6349999904632568,0.695297360420227,0.5652422904968262,0.5,0.6700000166893005,0.6931745409965515,0.5924805998802185,0.5,0.6383333206176758,102.9703426361084,1.7161723772684734,Yes,Good,60-70%,SUCCESS,data/processed/model6/order2/snps50/dataset_0.npz
model6,Pure Epistasis,2,50,100,37,0.5823593735694885,0.6416666507720947,0.6969261765480042,0.5927818417549133,0.4942857027053833,0.6346428394317627,0.6931490898132324,0.5930621027946472,0.5,0.6316666603088379,72.61002111434937,1.2101670185724893,Yes,Good,60-70%,SUCCESS,data/processed/model6/order2/snps50/dataset_1.npz
model7,Marginal,2,50,100,30,0.23004092276096344,0.92166668176651,0.6971902847290039,0.22896155714988708,0.4853571355342865,0.9214285612106323,0.6931223273277283,0.20767416059970856,0.5,0.9333333373069763,60.29292154312134,1.004882025718689,Yes,Excellent,60-70%,SUCCESS,data/processed/model7/order2/snps50/dataset_0.npz
model7,Marginal,2,50,100,29,0.28557178378105164,0.8916666507720947,0.6977269649505615,0.2605692744255066,0.4796428680419922,0.9071428775787354,0.693212628364563,0.23293955624103546,0.5,0.925000011920929,52.59854078292847,0.8766423463821411,Yes,Excellent,60-70%,SUCCESS,data/processed/model7/order2/snps50/dataset_1.npz
model8,Marginal,2,50,100,35,0.2306055724620819,0.92166668176651,0.695807695388794,0.2504729926586151,0.5089285969734192,0.9125000238418579,0.6931683421134949,0.23348508775234222,0.5,0.9233333468437195,69.73957705497742,1.1623262842496236,Yes,Excellent,60-70%,SUCCESS,data/processed/model8/order2/snps50/dataset_0.npz
model8,Marginal,2,50,100,36,0.23069781064987183,0.92166668176651,0.6968724131584167,0.24494613707065582,0.506428599357605,0.9107142686843872,0.6930737495422363,0.25358113646507263,0.5,0.9083333611488342,73.44469809532166,1.2240783015886942,Yes,Excellent,60-70%,SUCCESS,data/processed/model8/order2/snps50/dataset_1.npz
