model_name,model_type,num_snps,epochs_trained,test_accuracy,test_loss,final_train_acc,final_val_acc,training_time_minutes,status,filepath
model1,Marginal,50,46,0.6183333396911621,0.602310836315155,0.6310714483261108,0.5849999785423279,0.7741471370061238,SUCCESS,data/processed/model1/order2/snps50/dataset_0.npz
model1,Marginal,100,50,0.621666669845581,0.5997591018676758,0.6321428418159485,0.6483333110809326,1.6418184161186218,SUCCESS,data/processed/model1/order2/snps100/dataset_0.npz
model1,Marginal,500,41,0.6299999952316284,0.5927625894546509,0.8471428751945496,0.5583333373069763,5.893697810173035,SUCCESS,data/processed/model1/order2/snps500/dataset_0.npz
model1,Marginal,1000,36,0.5,0.693148136138916,0.49142858386039734,0.5,10.626615945498148,SUCCESS,data/processed/model1/order2/snps1000/dataset_0.npz
model2,Marginal,50,31,0.6066666841506958,0.6124420762062073,0.6464285850524902,0.628333330154419,0.5505222837130229,SUCCESS,data/processed/model2/order2/snps50/dataset_0.npz
model2,Marginal,100,29,0.6383333206176758,0.5867519378662109,0.641785740852356,0.625,0.9469632347424825,SUCCESS,data/processed/model2/order2/snps100/dataset_0.npz
model2,Marginal,500,36,0.6349999904632568,0.5904433727264404,0.7371428608894348,0.6000000238418579,5.043626077969869,SUCCESS,data/processed/model2/order2/snps500/dataset_0.npz
model2,Marginal,1000,50,0.6183333396911621,0.6265609264373779,0.6257143020629883,0.621666669845581,14.03625948826472,SUCCESS,data/processed/model2/order2/snps1000/dataset_0.npz
model3,Marginal,50,27,0.92166668176651,0.23284421861171722,0.9157142639160156,0.8983333110809326,0.47595388889312745,SUCCESS,data/processed/model3/order2/snps50/dataset_0.npz
model3,Marginal,100,31,0.9100000262260437,0.252118855714798,0.9103571176528931,0.9233333468437195,0.9048065781593323,SUCCESS,data/processed/model3/order2/snps100/dataset_0.npz
model3,Marginal,500,37,0.8933333158493042,0.28173911571502686,0.9135714173316956,0.8966666460037231,5.322032805283865,SUCCESS,data/processed/model3/order2/snps500/dataset_0.npz
model3,Marginal,1000,50,0.9100000262260437,0.2545506954193115,0.9049999713897705,0.9016666412353516,14.823129530747732,SUCCESS,data/processed/model3/order2/snps1000/dataset_0.npz
model4,Marginal,50,30,0.9283333420753479,0.21963605284690857,0.9064285755157471,0.8883333206176758,0.5385358333587646,SUCCESS,data/processed/model4/order2/snps50/dataset_0.npz
model4,Marginal,100,33,0.9150000214576721,0.24450385570526123,0.9142857193946838,0.9183333516120911,1.1725305438041687,SUCCESS,data/processed/model4/order2/snps100/dataset_0.npz
